"Route","Model","TrainWeighting","Fold","RecordID","Weight"
"binary","Null","record_equal",1,"SYN_7_1",1
"binary","Null","record_equal",1,"SYN_7_2",1
"binary","Null","record_equal",1,"SYN_7_4",1
"binary","Null","record_equal",1,"SYN_7_5",1
"binary","Null","record_equal",1,"SYN_7_7",1
"binary","Null","record_equal",1,"SYN_7_8",1
"binary","Null","record_equal",1,"SYN_7_10",1
"binary","Null","record_equal",1,"SYN_8_1",1
"binary","Null","record_equal",1,"SYN_8_2",1
"binary","Null","record_equal",1,"SYN_8_4",1
"binary","Null","record_equal",1,"SYN_8_5",1
"binary","Null","record_equal",1,"SYN_8_7",1
"binary","Null","record_equal",1,"SYN_8_8",1
"binary","Null","record_equal",1,"SYN_8_10",1
"binary","Null","record_equal",1,"SYN_8_11",1
"binary","Null","record_equal",1,"SYN_9_1",1
"binary","Null","record_equal",1,"SYN_9_2",1
"binary","Null","record_equal",1,"SYN_9_4",1
"binary","Null","record_equal",1,"SYN_9_5",1
"binary","Null","record_equal",1,"SYN_9_7",1
"binary","Null","record_equal",1,"SYN_9_8",1
"binary","Null","record_equal",1,"SYN_9_10",1
"binary","Null","record_equal",1,"SYN_9_11",1
"binary","Null","record_equal",1,"SYN_10_1",1
"binary","Null","record_equal",1,"SYN_10_2",1
"binary","Null","record_equal",1,"SYN_10_4",1
"binary","Null","record_equal",1,"SYN_10_5",1
"binary","Null","record_equal",1,"SYN_10_7",1
"binary","Null","record_equal",1,"SYN_10_8",1
"binary","Null","record_equal",1,"SYN_10_10",1
"binary","Null","record_equal",1,"SYN_10_11",1
"binary","Null","record_equal",1,"SYN_10_13",1
"binary","Null","record_equal",1,"SYN_11_1",1
"binary","Null","record_equal",1,"SYN_11_2",1
"binary","Null","record_equal",1,"SYN_11_4",1
"binary","Null","record_equal",1,"SYN_11_5",1
"binary","Null","record_equal",1,"SYN_11_7",1
"binary","Null","record_equal",1,"SYN_11_8",1
"binary","Null","record_equal",1,"SYN_11_10",1
"binary","Null","record_equal",1,"SYN_11_11",1
"binary","Null","record_equal",1,"SYN_11_13",1
"binary","Null","record_equal",1,"SYN_11_14",1
"binary","Null","record_equal",2,"SYN_1_1",1
"binary","Null","record_equal",2,"SYN_1_2",1
"binary","Null","record_equal",2,"SYN_1_4",1
"binary","Null","record_equal",2,"SYN_2_1",1
"binary","Null","record_equal",2,"SYN_2_2",1
