"Namespace","RelativePath","ArchivePath","Bytes","SHA256"
"v3.3","config/analysis.json","v3.3/config/analysis.json","1314","8ec92169e61669eceed0f3be52bd3db3f702ff760f4e5bcc8ea6605090882bd9"
"v3.3","Dockerfile","v3.3/Dockerfile","912","5c84fe230e43505e5522fbd2db48badcda5746c663de7e1e3389635a7ca29ae2"
"v3.3","docs/CHANGE_DETAILS_v3_3_zh.md","v3.3/docs/CHANGE_DETAILS_v3_3_zh.md","4665","37ba7fe604f6eb3f5caddd12c1d7633ed0fd0c8830d622f5690f752a51216b26"
"v3.3","docs/COMPLETE_ARCHIVE_zh.md","v3.3/docs/COMPLETE_ARCHIVE_zh.md","1066","4841904325516bdc302b755564f98a8bb946a3b629805ef0c21aeb7229d06ad2"
"v3.3","docs/FILE_CHANGE_INDEX.csv","v3.3/docs/FILE_CHANGE_INDEX.csv","17249","4ebad2a04f5ef85a102746c7118309455563a2ecf95432a791942abb6d733147"
"v3.3","docs/PIPELINE_v3_3_zh.md","v3.3/docs/PIPELINE_v3_3_zh.md","2282","2dd8c8cfe93a89ed5109ab58ed5faf209de5ffc3c8ac43387332c881d0f57846"
"v3.3","docs/reproduction_ubuntu.md","v3.3/docs/reproduction_ubuntu.md","2619","78ce04b6cf295c20c026d0af64523c150e37546f74ab5e23b149b05e0c65184e"
"v3.3","docs/REQUEST_SCOPE_zh.md","v3.3/docs/REQUEST_SCOPE_zh.md","1448","f4684d4c6ad5b4452c6328c17c08b87614fbfdf6dc06fc3ff93a7e7bdeb5c5e8"
"v3.3","input/contract.json","v3.3/input/contract.json","735","ca6152c072b37133711b246f9d5b08dd646439c38cbdf33716557a688957c0ab"
"v3.3","input/observations.csv","v3.3/input/observations.csv","15730","3c886f7f2c11012463296b350a931543542b4e1c0d128ad3c408fda9ae824d79"
"v3.3","input/sites.csv","v3.3/input/sites.csv","16905","0a99692b060f13d1faaa870d06ea7dca9a4f16bc289636bcc88f5d105ebdacb5"
"v3.3","provenance/ARTIFACT_INDEX.csv","v3.3/provenance/ARTIFACT_INDEX.csv","49636","1de357a150e4ce077969d4fed2a7c37f43ccc28587c144dca61f6f4485430562"
"v3.3","provenance/formal_status.json","v3.3/provenance/formal_status.json","426","6a719455cdc5efbb41a009a59fe3c7700c7c95471cd2c7bcde26dccfefdcf5a5"
"v3.3","provenance/runtime_spec.json","v3.3/provenance/runtime_spec.json","1067","84f3a2289fab273baf53ad8516b2cee74cc3fd21286bf5aaa74e29feda9903d8"
"v3.3","provenance/validation_summary.json","v3.3/provenance/validation_summary.json","2384","a793157bcc5ec24e63c22c13f1c94a8911825ee07b30ed9e3a3231cad5d5431b"
"v3.3","R/applicability.R","v3.3/R/applicability.R","3597","20e678c3184a470cc010d5e8e38e163d27ade40352cac2b0434c49f77442d588"
"v3.3","R/audit_run.R","v3.3/R/audit_run.R","10250","1e48af4ddd52e9c3a4492aa4b159461f173599c81263b992529a5afc3e6a5bb4"
"v3.3","R/bootstrap.R","v3.3/R/bootstrap.R","1122","02cfcdcd5c64b87b38b3152c2574584665fcd8a732f5f84ddcc8b5ccdc833d1d"
"v3.3","R/cache_io.R","v3.3/R/cache_io.R","6792","e5bff6618d266164800cbbcdd43556e92acebd1589b16338045be80baa32dc98"
"v3.3","R/comparison.R","v3.3/R/comparison.R","7114","2ce68d341f9992ac418f55c27a1731b996d7a2fcf53ea3193e5b196912a98c2f"
"v3.3","R/config.R","v3.3/R/config.R","5808","8aa2c5731c3d03c8f28027fb81ef38f614a4bba04079c6b6fa924b8784ec8dac"
"v3.3","R/cross_validation.R","v3.3/R/cross_validation.R","12675","b77c16ee39db63e057b60ff9eea8cb503fda0947c4ec43a8eb65103340f18805"
"v3.3","R/data_encoding.R","v3.3/R/data_encoding.R","14243","205c15f8211918bb42705e1532162441d3fec32fc8bd1053d1abdb77dab9be88"
"v3.3","R/fitting.R","v3.3/R/fitting.R","9798","98dae597f05612cdfad2af2647c167a8c873dc524331a1d59c4bc13307f412f7"
"v3.3","R/metrics.R","v3.3/R/metrics.R","10541","794c9e2a4e2339db29ef17643689d574e5bb5192366a49fa1f63a63f81e79e48"
"v3.3","R/plotting.R","v3.3/R/plotting.R","5861","6880ffc04a2cd9ad79999f1d6af6e072d7b183b21a5b846b559dee9e16f26430"
"v3.3","R/ppc.R","v3.3/R/ppc.R","2797","48fbac66931959c6f7ead27419d6b84c5843185f61a80e93d11083d034afabd2"
"v3.3","R/prediction_audit.R","v3.3/R/prediction_audit.R","23300","afe818c01737ca11ac74ea493eeea67ab6b10e8d4d1c5618e6aa2cb93f4eb831"
"v3.3","R/prediction.R","v3.3/R/prediction.R","7675","5772e289e9b21f976272f305334bde5bd6227fd226680b5666e224e591424927"
"v3.3","R/provenance.R","v3.3/R/provenance.R","2388","0a34fb3b5ca427286bce7cd2fbd8d60442d22ad213633ec89f857ba12296bc9f"
"v3.3","R/quantitative_diagnostics.R","v3.3/R/quantitative_diagnostics.R","5215","f28522b05dc4fb854b36ab51781aeb6394b8d0dab1b52fda014bd5eedf6d410b"
"v3.3","R/reporting.R","v3.3/R/reporting.R","6602","ccfa8c668a385b535f7f33121daaa645d26f94f033b45a1c48ff901d4ce4d565"
"v3.3","R/weights.R","v3.3/R/weights.R","2244","7951bdb1dcf79015bd889f60ebbd97cb8c2091631f62049cadca32cbce3c6019"
"v3.3","R/workflow.R","v3.3/R/workflow.R","10385","9afa967d9f05f3bd591f697c09ffdc5dfb66a4b8615a9c6012f9ab3ec2f2cd1c"
"v3.3","README.md","v3.3/README.md","1395","5855a444ce36d10f0c5b11445f395a78c353914af8fca821c93a80296e1c2eae"
"v3.3","renv.lock","v3.3/renv.lock","178662","77ce8ad056d4c0cc816e33e9815afdc44fd7a2728257fb64b6c61c90b19b4de2"
"v3.3","review/audit_beta_after.log","v3.3/review/audit_beta_after.log","1108","fc52ccb5177cc7e3c87194d10bfa9e7b02346fae65a711467ae262f1f0236ad4"
"v3.3","review/audit_beta_after/regression_cases.csv","v3.3/review/audit_beta_after/regression_cases.csv","806","16ab981c5b6e42a1edcac80516778da571c126e5174955834e2a8e18cf8180af"
"v3.3","review/audit_beta_after/status.json","v3.3/review/audit_beta_after/status.json","188","35cc78b1562f9deb5607bdec8a9fa5a693f1a8ed3de86c00086ff3c713b3a842"
"v3.3","review/audit_beta_before.log","v3.3/review/audit_beta_before.log","1132","f59f1a3fec196cec5cf015e60d6d2b3055bd55825404576a15055da8e545e66c"
"v3.3","review/audit_beta_before/regression_cases.csv","v3.3/review/audit_beta_before/regression_cases.csv","863","bfee1751d2148dcf5ad19c6b998d2017df49723b454602e086e1d7dd240839f4"
"v3.3","review/audit_beta_before/status.json","v3.3/review/audit_beta_before/status.json","201","e65231d988b2f8d5d56a25d7446894e79e6938aef9ed1e18bc40cefee418a404"
"v3.3","review/audit_beta_three_way_exact_text_gate.log","v3.3/review/audit_beta_three_way_exact_text_gate.log","110","cf5f50b35bffec1060ba0cca7639c6c776646506bd6fb194e30649f9b74b73bb"
"v3.3","review/audit_beta_three_way_exit.json","v3.3/review/audit_beta_three_way_exit.json","131","104625b96d64811f29794a01218194bc2fed69486e150f09f914f04afe901769"
"v3.3","review/audit_beta_three_way_initial_parse_error.log","v3.3/review/audit_beta_three_way_initial_parse_error.log","92","a326d8702e5e93fac5694c800e3a20258268912b28f25bf3051ce69b66d83085"
"v3.3","review/audit_beta_three_way.log","v3.3/review/audit_beta_three_way.log","1144","7c0657586b9ea26544760487780be59c5b7231fc4edb699738a464fdeaa6e4fc"
"v3.3","review/audit_beta_three_way/cases.csv","v3.3/review/audit_beta_three_way/cases.csv","26929","9c44499ed4de8ed856f1e786e30202999ef60fe9fc4201297a4729c5eaa02529"
"v3.3","review/audit_beta_three_way/high_precision_reference_status.json","v3.3/review/audit_beta_three_way/high_precision_reference_status.json","372","17b3e42cbe5f8a627900640a89ed976ab45bc74d3db6f3c254a8948cb2315b2d"
"v3.3","review/audit_beta_three_way/high_precision_reference.csv","v3.3/review/audit_beta_three_way/high_precision_reference.csv","65317","6c304173355e2e0b98ebed699304b4d9c2855833fc4cc8aebd1af817360bab4b"
"v3.3","review/audit_beta_three_way/raw_record_audit_comparison.csv","v3.3/review/audit_beta_three_way/raw_record_audit_comparison.csv","516","0876e5f69af4889f2e84268a329fdf70b157fa63d6e5ea1224476315d7eeb837"
"v3.3","review/audit_beta_three_way/status.json","v3.3/review/audit_beta_three_way/status.json","798","0c600fda0faeb8e5c29c3069a33a2f43c61d2eaa7064cb0b2c15fd03c452cd48"
"v3.3","review/audit_beta_three_way/three_way_values.csv","v3.3/review/audit_beta_three_way/three_way_values.csv","66368","794d856a1b9f64019482f06ff5d14f7d77d16242d785e2c6e9c29dab321ad196"
"v3.3","review/audit_deterministic/assertions.csv","v3.3/review/audit_deterministic/assertions.csv","2109","a7477005efe7fdce14dd1e8ddd3da95740a84836dd60d2170299d6ef6ce0b349"
"v3.3","review/audit_deterministic/audit_test_status.json","v3.3/review/audit_deterministic/audit_test_status.json","218","a8027e707db14be46a1b3e322cec3ed93ab78b8251b05c23ac1b7f304145e206"
"v3.3","review/audit_deterministic/comparison_receipts.csv","v3.3/review/audit_deterministic/comparison_receipts.csv","178","13f35829c13938abb8f17c3a87851d5b138cf2fa4cb3a4a2107befba15389f67"
"v3.3","review/audit_deterministic/posterior_to_full_panel_receipts.csv","v3.3/review/audit_deterministic/posterior_to_full_panel_receipts.csv","3773","5efe368772ed835d972702a81db41ad04119a7eead8d21d8342650e15c6b417b"
"v3.3","review/audit_deterministic/posterior_to_OOF_receipts.csv","v3.3/review/audit_deterministic/posterior_to_OOF_receipts.csv","10297","237714997d328384682e1210681fa33aef97ed14eeb80f22ce13b2c59e455c6a"
"v3.3","review/audit_deterministic/quantitative_receipts.csv","v3.3/review/audit_deterministic/quantitative_receipts.csv","176","0a3cdf8a5c070495a823033b72bac146ada6ee9249501202c627ca90f60ed1c4"
"v3.3","review/baseline_v3_2/config/analysis.json","v3.3/review/baseline_v3_2/config/analysis.json","1314","67ff493c23954a9e5ce3d41c81f0d74c1fce4e7903380761083e56f30a8550f0"
"v3.3","review/baseline_v3_2/R/applicability.R","v3.3/review/baseline_v3_2/R/applicability.R","3597","20e678c3184a470cc010d5e8e38e163d27ade40352cac2b0434c49f77442d588"
"v3.3","review/baseline_v3_2/R/audit_run.R","v3.3/review/baseline_v3_2/R/audit_run.R","10250","ec37cd85fb777a1e9bb9db3eebef63c0ab949c173f37ce931f4b36bf65091bbf"
"v3.3","review/baseline_v3_2/R/bootstrap.R","v3.3/review/baseline_v3_2/R/bootstrap.R","1122","02cfcdcd5c64b87b38b3152c2574584665fcd8a732f5f84ddcc8b5ccdc833d1d"
"v3.3","review/baseline_v3_2/R/cache_io.R","v3.3/review/baseline_v3_2/R/cache_io.R","6792","e5bff6618d266164800cbbcdd43556e92acebd1589b16338045be80baa32dc98"
"v3.3","review/baseline_v3_2/R/comparison.R","v3.3/review/baseline_v3_2/R/comparison.R","7114","2ce68d341f9992ac418f55c27a1731b996d7a2fcf53ea3193e5b196912a98c2f"
"v3.3","review/baseline_v3_2/R/config.R","v3.3/review/baseline_v3_2/R/config.R","5808","8488593f5cb0c6adc232ecb7013419062d542aea9b946176b824f1b50179cf01"
"v3.3","review/baseline_v3_2/R/cross_validation.R","v3.3/review/baseline_v3_2/R/cross_validation.R","12675","b77c16ee39db63e057b60ff9eea8cb503fda0947c4ec43a8eb65103340f18805"
"v3.3","review/baseline_v3_2/R/data_encoding.R","v3.3/review/baseline_v3_2/R/data_encoding.R","14243","205c15f8211918bb42705e1532162441d3fec32fc8bd1053d1abdb77dab9be88"
"v3.3","review/baseline_v3_2/R/fitting.R","v3.3/review/baseline_v3_2/R/fitting.R","9798","98dae597f05612cdfad2af2647c167a8c873dc524331a1d59c4bc13307f412f7"
"v3.3","review/baseline_v3_2/R/metrics.R","v3.3/review/baseline_v3_2/R/metrics.R","10541","794c9e2a4e2339db29ef17643689d574e5bb5192366a49fa1f63a63f81e79e48"
"v3.3","review/baseline_v3_2/R/plotting.R","v3.3/review/baseline_v3_2/R/plotting.R","5861","6880ffc04a2cd9ad79999f1d6af6e072d7b183b21a5b846b559dee9e16f26430"
"v3.3","review/baseline_v3_2/R/ppc.R","v3.3/review/baseline_v3_2/R/ppc.R","2797","48fbac66931959c6f7ead27419d6b84c5843185f61a80e93d11083d034afabd2"
"v3.3","review/baseline_v3_2/R/prediction_audit.R","v3.3/review/baseline_v3_2/R/prediction_audit.R","22779","8af9e53177e600848eed8c739118597a0d854bf3e8a4c93a7cbb1ef9fda36e87"
"v3.3","review/baseline_v3_2/R/prediction.R","v3.3/review/baseline_v3_2/R/prediction.R","7675","5772e289e9b21f976272f305334bde5bd6227fd226680b5666e224e591424927"
"v3.3","review/baseline_v3_2/R/provenance.R","v3.3/review/baseline_v3_2/R/provenance.R","2388","0a34fb3b5ca427286bce7cd2fbd8d60442d22ad213633ec89f857ba12296bc9f"
"v3.3","review/baseline_v3_2/R/quantitative_diagnostics.R","v3.3/review/baseline_v3_2/R/quantitative_diagnostics.R","5215","f28522b05dc4fb854b36ab51781aeb6394b8d0dab1b52fda014bd5eedf6d410b"
"v3.3","review/baseline_v3_2/R/reporting.R","v3.3/review/baseline_v3_2/R/reporting.R","6344","da3f1b697bb0d56b28a9d23178f1c6c8580e012028b9a98846b0a797f9e45c28"
"v3.3","review/baseline_v3_2/R/weights.R","v3.3/review/baseline_v3_2/R/weights.R","2244","7951bdb1dcf79015bd889f60ebbd97cb8c2091631f62049cadca32cbce3c6019"
