Path,Bytes,SHA256,Category,GitMirror
quantitative_metric_supplement_20260923/ARTIFACT_INDEX.json,3872,c295c245115466df6b70aa25f7f2da1885b8e0ed7a204a63f83ccceb812c2f4f,metric_figures_interpretation_and_intermediates,snapshot/quantitative_metric_supplement_20260923/ARTIFACT_INDEX.json
quantitative_metric_supplement_20260923/binary_metric_source.csv,9133,6d7b64e29a2d5f94246d008c0a2c10bbeefb2d53f306cd89a45d7d7eea261a5f,metric_figures_interpretation_and_intermediates,snapshot/quantitative_metric_supplement_20260923/binary_metric_source.csv
quantitative_metric_supplement_20260923/ELPD_binary_comparison.png,322532,95f417d930cbf8be3d7b85847ea22f2c0eba4161252274128dd5170f036c6a83,metric_figures_interpretation_and_intermediates,snapshot/quantitative_metric_supplement_20260923/ELPD_binary_comparison.png
quantitative_metric_supplement_20260923/ELPD_binary_comparison.svg,252216,2cbe66a8677469dd173eca8e361d4d0aa2bd3110d1c2eb5418877b90c58f17a4,metric_figures_interpretation_and_intermediates,snapshot/quantitative_metric_supplement_20260923/ELPD_binary_comparison.svg
quantitative_metric_supplement_20260923/ELPD_binary_preview.png,143095,ce2011b10249edbbd75c69a7af9d06735de963296bbba7133241d8fadd14135e,metric_figures_interpretation_and_intermediates,snapshot/quantitative_metric_supplement_20260923/ELPD_binary_preview.png
quantitative_metric_supplement_20260923/ELPD_comparison.png,331397,67e33d25fd688f90949f6ef42f9a52daa1f5e2c3ce3df2e4c4e17901097bcfa4,metric_figures_interpretation_and_intermediates,snapshot/quantitative_metric_supplement_20260923/ELPD_comparison.png
quantitative_metric_supplement_20260923/ELPD_comparison.svg,240452,ce384782a8b014eb1870b505cdfe7c74e09aea24b055446948f79a75535dc2ae,metric_figures_interpretation_and_intermediates,snapshot/quantitative_metric_supplement_20260923/ELPD_comparison.svg
quantitative_metric_supplement_20260923/ELPD_preview.png,143122,786c72cddc94365e361470965f5110487683e2a67329cb86c61c3beac59c4b76,metric_figures_interpretation_and_intermediates,snapshot/quantitative_metric_supplement_20260923/ELPD_preview.png
quantitative_metric_supplement_20260923/generation_exit.json,77,c4fb558b343a61cbcfa45ba85ce3530a53c1c280986df827ed08e3e8e332d0cf,metric_figures_interpretation_and_intermediates,snapshot/quantitative_metric_supplement_20260923/generation_exit.json
quantitative_metric_supplement_20260923/generation.log,133,e7c3b9196bae671ed2b1a5dce47f77abd1920f6b9e42a87684189162b2543c01,metric_figures_interpretation_and_intermediates,snapshot/quantitative_metric_supplement_20260923/generation.log
quantitative_metric_supplement_20260923/INTERPRETATION_zh.md,10752,6352aef066cce1251322b2ad3b729a0febccd6d15f81e5090a175d5451bae22f,metric_figures_interpretation_and_intermediates,snapshot/quantitative_metric_supplement_20260923/INTERPRETATION_zh.md
quantitative_metric_supplement_20260923/MAE_comparison.png,330628,50e72ececbf3ccc8ad0e8cc2cea5d47f6ed4229723580526e259cd39728d48f3,metric_figures_interpretation_and_intermediates,snapshot/quantitative_metric_supplement_20260923/MAE_comparison.png
quantitative_metric_supplement_20260923/MAE_comparison.svg,248441,896056337a88358fe35a82f2990e3926f898f06184bb11a1b106761ce8dfb59e,metric_figures_interpretation_and_intermediates,snapshot/quantitative_metric_supplement_20260923/MAE_comparison.svg
quantitative_metric_supplement_20260923/MAE_preview.png,144185,80ed6f58a6bc1648b6d731d45a76dfa95eeead4c5f3f8c7bd485d45aede0e2bb,metric_figures_interpretation_and_intermediates,snapshot/quantitative_metric_supplement_20260923/MAE_preview.png
