"Species","Fold"
"Carassius_auratus",1
"Carassius_carassius",3
"Ctenopharyngodon_idella",2
"Cirrhinus_molitorella",9
"Danio_rerio",1
"Pygocentrus_nattereri",3
"Thunnus_orientalis",1
"Pampus_argenteus",5
"Pterapogon_kauderni",5
"Oxyeleotris_marmorata",3
"Anabas_testudineus",10
"Channa_argus",3
"Trichopodus_trichopterus",9
"Eleutheronema_tetradactylum",6
"Lates_calcarifer",4
"Seriola_dumerili",2
"Paralichthys_olivaceus",10
"Platichthys_stellatus",1
"Scophthalmus_maximus",4
"Astronotus_ocellatus",6
"Oreochromis_niloticus",2
"Pterophyllum_scalare",10
"Poecilia_latipinna",8
"Poecilia_reticulata",8
"Poropanchax_normani",9
"Xiphophorus_hellerii",8
"Xiphophorus_maculatus",5
"Mugil_cephalus",5
"Larimichthys_crocea",7
"Sciaenops_ocellatus",7
"Platax_orbicularis",6
"Lutjanus_erythropterus",10
"Acanthopagrus_schlegelii",4
"Lethrinus_nebulosus",3
"Pagrus_major",2
"Rhabdosargus_sarba",1
"Lateolabrax_japonicus",6
"Lateolabrax_maculatus",7
"Maccullochella_peelii",7
"Micropterus_salmoides",9
"Oplegnathus_fasciatus",4
"Oplegnathus_punctatus",9
"Siniperca_chuatsi",6
"Siniperca_scherzeri",8
"Cromileptes_altivelis",2
"Epinephelus_bruneus",1
"Epinephelus_coioides",8
"Epinephelus_fuscoguttatus",4
"Epinephelus_lanceolatus",5
"Epinephelus_malabaricus",7
"Plectropomus_leopardus",10
