"Design","Model","TrainWeighting","EvalWeighting","Bin","RecordsUsed","SpeciesUsed","WeightSum","MeanPredicted","ObservedRate","CalibrationLower","CalibrationUpper","BootstrapValid","IntervalStatus"
"fivefold","Null","record_equal","record_equal","[0.2,0.4)",70,11,70,0.4,0.485714285714286,0.454190476190476,0.542018398268398,50,"OK"
"fivefold","Null","species_equal","record_equal","[0.2,0.4)",70,11,70,0.4,0.485714285714286,0.454190476190476,0.542018398268398,50,"OK"
"fivefold","M1","record_equal","record_equal","[0.4,0.6)",70,11,70,0.45,0.485714285714286,0.458507170795306,0.522775919732442,50,"OK"
"fivefold","M1","species_equal","record_equal","[0.4,0.6)",70,11,70,0.45,0.485714285714286,0.458507170795306,0.522775919732442,50,"OK"
"fivefold","M2","record_equal","record_equal","[0.4,0.6)",70,11,70,0.5,0.485714285714286,0.458507170795306,0.522775919732442,50,"OK"
"fivefold","M2","species_equal","record_equal","[0.4,0.6)",70,11,70,0.5,0.485714285714286,0.458507170795306,0.522775919732442,50,"OK"
"fivefold","M3","record_equal","record_equal","[0.4,0.6)",70,11,70,0.55,0.485714285714286,0.458507170795306,0.522775919732442,50,"OK"
"fivefold","M3","species_equal","record_equal","[0.4,0.6)",70,11,70,0.55,0.485714285714286,0.458507170795306,0.522775919732442,50,"OK"
"tenfold","Null","record_equal","record_equal","[0.2,0.4)",70,11,70,0.4,0.485714285714286,0.452295590753425,0.543166764792464,50,"OK"
"tenfold","Null","species_equal","record_equal","[0.2,0.4)",70,11,70,0.4,0.485714285714286,0.452295590753425,0.543166764792464,50,"OK"
"tenfold","M1","record_equal","record_equal","[0.4,0.6)",70,11,70,0.45,0.485714285714286,0.456140350877193,0.521063796354494,50,"OK"
"tenfold","M1","species_equal","record_equal","[0.4,0.6)",70,11,70,0.45,0.485714285714286,0.456140350877193,0.521063796354494,50,"OK"
"tenfold","M2","record_equal","record_equal","[0.4,0.6)",70,11,70,0.5,0.485714285714286,0.456140350877193,0.521063796354494,50,"OK"
"tenfold","M2","species_equal","record_equal","[0.4,0.6)",70,11,70,0.5,0.485714285714286,0.456140350877193,0.521063796354494,50,"OK"
"tenfold","M3","record_equal","record_equal","[0.4,0.6)",70,11,70,0.55,0.485714285714286,0.456140350877193,0.521063796354494,50,"OK"
"tenfold","M3","species_equal","record_equal","[0.4,0.6)",70,11,70,0.55,0.485714285714286,0.456140350877193,0.521063796354494,50,"OK"
"fivefold","Null","record_equal","species_equal","[0.2,0.4)",70,11,70,0.4,0.473304473304473,0.446403318903319,0.521161616161616,50,"OK"
"fivefold","Null","species_equal","species_equal","[0.2,0.4)",70,11,70,0.4,0.473304473304473,0.446403318903319,0.521161616161616,50,"OK"
"fivefold","M1","record_equal","species_equal","[0.4,0.6)",70,11,70,0.45,0.473304473304473,0.435371572871573,0.510761183261183,50,"OK"
"fivefold","M1","species_equal","species_equal","[0.4,0.6)",70,11,70,0.45,0.473304473304473,0.435371572871573,0.510761183261183,50,"OK"
"fivefold","M2","record_equal","species_equal","[0.4,0.6)",70,11,70,0.5,0.473304473304473,0.435371572871573,0.510761183261183,50,"OK"
"fivefold","M2","species_equal","species_equal","[0.4,0.6)",70,11,70,0.5,0.473304473304473,0.435371572871573,0.510761183261183,50,"OK"
"fivefold","M3","record_equal","species_equal","[0.4,0.6)",70,11,70,0.55,0.473304473304473,0.435371572871573,0.510761183261183,50,"OK"
"fivefold","M3","species_equal","species_equal","[0.4,0.6)",70,11,70,0.55,0.473304473304473,0.435371572871573,0.510761183261183,50,"OK"
"tenfold","Null","record_equal","species_equal","[0.2,0.4)",70,11,70,0.4,0.473304473304473,0.441641414141414,0.523127705627705,50,"OK"
"tenfold","Null","species_equal","species_equal","[0.2,0.4)",70,11,70,0.4,0.473304473304473,0.441641414141414,0.523127705627705,50,"OK"
"tenfold","M1","record_equal","species_equal","[0.4,0.6)",70,11,70,0.45,0.473304473304473,0.437842712842713,0.511980519480519,50,"OK"
"tenfold","M1","species_equal","species_equal","[0.4,0.6)",70,11,70,0.45,0.473304473304473,0.437842712842713,0.511980519480519,50,"OK"
"tenfold","M2","record_equal","species_equal","[0.4,0.6)",70,11,70,0.5,0.473304473304473,0.437842712842713,0.511980519480519,50,"OK"
"tenfold","M2","species_equal","species_equal","[0.4,0.6)",70,11,70,0.5,0.473304473304473,0.437842712842713,0.511980519480519,50,"OK"
"tenfold","M3","record_equal","species_equal","[0.4,0.6)",70,11,70,0.55,0.473304473304473,0.437842712842713,0.511980519480519,50,"OK"
"tenfold","M3","species_equal","species_equal","[0.4,0.6)",70,11,70,0.55,0.473304473304473,0.437842712842713,0.511980519480519,50,"OK"
