"Species","Fold"
"Carassius_auratus",1
"Carassius_carassius",3
"Ctenopharyngodon_idella",5
"Cirrhinus_molitorella",1
"Danio_rerio",2
"Pygocentrus_nattereri",4
"Thunnus_orientalis",2
"Pampus_argenteus",4
"Pterapogon_kauderni",4
"Oxyeleotris_marmorata",1
"Anabas_testudineus",4
"Channa_argus",3
"Trichopodus_trichopterus",5
"Eleutheronema_tetradactylum",2
"Lates_calcarifer",5
"Seriola_dumerili",1
"Paralichthys_olivaceus",1
"Platichthys_stellatus",3
"Scophthalmus_maximus",4
"Astronotus_ocellatus",5
"Oreochromis_niloticus",4
"Pterophyllum_scalare",2
"Poecilia_latipinna",4
"Poecilia_reticulata",3
"Poropanchax_normani",1
"Xiphophorus_hellerii",3
"Xiphophorus_maculatus",5
"Mugil_cephalus",1
"Larimichthys_crocea",3
"Sciaenops_ocellatus",5
"Platax_orbicularis",5
"Lutjanus_erythropterus",1
"Acanthopagrus_schlegelii",1
"Lethrinus_nebulosus",1
"Pagrus_major",2
"Rhabdosargus_sarba",5
"Lateolabrax_japonicus",4
"Lateolabrax_maculatus",4
"Maccullochella_peelii",2
"Micropterus_salmoides",2
"Oplegnathus_fasciatus",5
"Oplegnathus_punctatus",3
"Siniperca_chuatsi",3
"Siniperca_scherzeri",4
"Cromileptes_altivelis",1
"Epinephelus_bruneus",5
"Epinephelus_coioides",3
"Epinephelus_fuscoguttatus",2
"Epinephelus_lanceolatus",2
"Epinephelus_malabaricus",2
"Plectropomus_leopardus",3
