"Path","SHA256","AnalysisFingerprint"
"results/calibration_bins.csv","e4f13dd10c6a64cff4b0571eac95347e60be282f4c603ba6d922dadd9a65a9e3","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/cv_fold_metrics.csv","0022cf9e5492686a8be8b0234dce82e215e954b7f4ebe772c27a5457ac66f28c","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/cv_metrics_summary.csv","f8af8fa8afb44cf9c68ad064f3ac4bd891c98508a6438e21659806a3465d167d","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/cv_record_predictions.csv","705a6fd93416bf70e08a44ed86f5910a6c9fb0a28008de50793afff16a837b9a","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/folds_binary_species_10.csv","2de8e002f7b5fa6628a3269665cae29d0c6335dd2148e55e31fc3ed5cfb975aa","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/folds_binary_species_5.csv","933f627f122e5efda378435a580b583491fad0a640814ff9e777bed7c45b8114","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/folds_joint_bb_species_10.csv","6ab52895401b3e17adfac0753407e4140f968a00bd071d05b50abda645bb0ccf","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/folds_joint_bb_species_5.csv","7d63d8e34fd7a90174bafcfdec6a54ea1a5d6e50c486eb1102f272d1afc1ebc5","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/full_diagnostics.csv","adc56ebb752616ff5260727606d0e48e8195bd2c9dc0622e91a53c0830cfb1ed","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/full_panel_predictions.csv","1edcbf60e4d70f3c69c7f0bc4258a207771d08ff33e3914ea5fb1448fb8883d7","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/model_vs_null_by_fold.csv","45b83ec849c19b412cd096c435d2bb4d8e20e395e9b9e019c1dc80c9a0e51305","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/model_vs_null.csv","f9fc80afbdeba11bdfb918adcca64939b162cb78bf3bc7792bfc88cd2f6526ae","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/quantitative_bias_summary.csv","896c3ac972251b3b977849170b6d8e86492cf7255682fa6335e3e9d5528f08ef","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/quantitative_plot_source.csv","e3fa5c65cf7b757dbe5c081f46592b4b83e348f0ca15ff53060259dcc248104f","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/roc_coordinates.csv","184e2ff92c3a3133c71ea60067f23cd84023137d56c8c2c8dfc7c1cfdc81db43","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/training_method_comparisons_by_fold.csv","8cf691ec6f3d1fae7d97c69f4c2ecd0fe5aed9a9cb648f1a350aef16f06c2ff5","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/training_method_comparisons.csv","a89e97406fefbba427c1c792e303eb42f46fff4c0d588a1b6a670c678cfb39b6","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/training_ppc_summary.csv","9aa666a0c84d6507b9fe14e8332e5e848ecdad20896d65a0bbd167603bc52cd6","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/training_weights_cv.csv","0730b463d807ee82cb33daa5fb4307a5e80d0c9d82683c0000906dc7ddd3078b","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/training_weights_full.csv","fe869918225e633831be725b4689b98f0bb7d3b7d6a56baf68ea123521505487","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"results/training_weights.csv","a6fb863c0943578285ab8d3169daa634eb6abc280b2b94e2b27bc8270e32ee81","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"figures/calibration_bins.pdf","6e8bf4b359e1e879db0b3a544e9a99f9b8b7e28cc3cb5d20b62d3fe28fbd58f3","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"figures/quantitative_predicted_observed.pdf","b647a2b954fa3dcfc911119b8eeba14130044a47e25903b4103ec0d435d1fbb9","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"figures/ROC_curves.pdf","4f0d1d81c5da78db595a86d3b6fe468a9556fbc444023579ecaf2998ed3724f5","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"figures/species_prediction_plot_source.csv","6a86d706642df478ba126cd3785f1cae88cca8f20cdacbf313bb4ce6133e5617","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"figures/species_predictions_binary_record_equal.pdf","19f631c79f1b3bc22d583ebf16329178b56c82d5b6b54a811de75d8b0521a1d1","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"figures/species_predictions_binary_species_equal.pdf","478af988b0779b2842b80f62700f625969fc2a6f09b71bfe03f82ed2f2d34355","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"figures/species_predictions_joint_bb_record_equal.pdf","ad1b09f3f584e0b042aec929abeef4ce60f16586b779cc5c684a6ba27bc8477f","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"figures/species_predictions_joint_bb_species_equal.pdf","59313863301f0e6c457d8ac25fb72558265f2bbb50512f1766dd71cd3963746d","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"figures/training_ppc_summary.pdf","803ff7fa9b167f71e885fd1bcd2a3cb80f30f92ab351174ef02b7b1516e0bd46","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
"reports/REPORT_v3_4.md","3e53fbcf38c616e43e38d71e7ee1c108b172d6c6be67e09ac0e3003f9960c031","f7f5b372bdad2effc153e629a83e73d809ffc3d1258c1ffcab1c08064af4e68e"
