"Path","Change","Reason","OldSHA256","NewSHA256"
"Dockerfile","MODIFIED","Independent v3.3 identity/path; model configuration unchanged","aa7223734e4b83b7baeff97f1627c247e53cf7ec6e3e5249b5b8eac576f4816d","5c84fe230e43505e5522fbd2db48badcda5746c663de7e1e3389635a7ca29ae2"
"R/applicability.R","UNCHANGED","Preserved v3.2 implementation; no added modeling scope","20e678c3184a470cc010d5e8e38e163d27ade40352cac2b0434c49f77442d588","20e678c3184a470cc010d5e8e38e163d27ade40352cac2b0434c49f77442d588"
"R/audit_run.R","MODIFIED","Independent v3.3 identity/path; model configuration unchanged","ec37cd85fb777a1e9bb9db3eebef63c0ab949c173f37ce931f4b36bf65091bbf","1e48af4ddd52e9c3a4492aa4b159461f173599c81263b992529a5afc3e6a5bb4"
"R/bootstrap.R","UNCHANGED","Preserved v3.2 implementation; no added modeling scope","02cfcdcd5c64b87b38b3152c2574584665fcd8a732f5f84ddcc8b5ccdc833d1d","02cfcdcd5c64b87b38b3152c2574584665fcd8a732f5f84ddcc8b5ccdc833d1d"
"R/cache_io.R","UNCHANGED","Preserved v3.2 implementation; no added modeling scope","e5bff6618d266164800cbbcdd43556e92acebd1589b16338045be80baa32dc98","e5bff6618d266164800cbbcdd43556e92acebd1589b16338045be80baa32dc98"
"R/comparison.R","UNCHANGED","Preserved v3.2 implementation; no added modeling scope","2ce68d341f9992ac418f55c27a1731b996d7a2fcf53ea3193e5b196912a98c2f","2ce68d341f9992ac418f55c27a1731b996d7a2fcf53ea3193e5b196912a98c2f"
"R/config.R","MODIFIED","Independent v3.3 identity/path; model configuration unchanged","8488593f5cb0c6adc232ecb7013419062d542aea9b946176b824f1b50179cf01","8aa2c5731c3d03c8f28027fb81ef38f614a4bba04079c6b6fa924b8784ec8dac"
"R/cross_validation.R","UNCHANGED","Preserved v3.2 implementation; no added modeling scope","b77c16ee39db63e057b60ff9eea8cb503fda0947c4ec43a8eb65103340f18805","b77c16ee39db63e057b60ff9eea8cb503fda0947c4ec43a8eb65103340f18805"
"R/data_encoding.R","UNCHANGED","Preserved v3.2 implementation; no added modeling scope","205c15f8211918bb42705e1532162441d3fec32fc8bd1053d1abdb77dab9be88","205c15f8211918bb42705e1532162441d3fec32fc8bd1053d1abdb77dab9be88"
"R/fitting.R","UNCHANGED","Preserved v3.2 implementation; no added modeling scope","98dae597f05612cdfad2af2647c167a8c873dc524331a1d59c4bc13307f412f7","98dae597f05612cdfad2af2647c167a8c873dc524331a1d59c4bc13307f412f7"
"R/metrics.R","UNCHANGED","Preserved v3.2 implementation; no added modeling scope","794c9e2a4e2339db29ef17643689d574e5bb5192366a49fa1f63a63f81e79e48","794c9e2a4e2339db29ef17643689d574e5bb5192366a49fa1f63a63f81e79e48"
"R/plotting.R","UNCHANGED","Preserved v3.2 implementation; no added modeling scope","6880ffc04a2cd9ad79999f1d6af6e072d7b183b21a5b846b559dee9e16f26430","6880ffc04a2cd9ad79999f1d6af6e072d7b183b21a5b846b559dee9e16f26430"
"R/ppc.R","UNCHANGED","Preserved v3.2 implementation; no added modeling scope","48fbac66931959c6f7ead27419d6b84c5843185f61a80e93d11083d034afabd2","48fbac66931959c6f7ead27419d6b84c5843185f61a80e93d11083d034afabd2"
"R/prediction.R","UNCHANGED","Preserved v3.2 implementation; no added modeling scope","5772e289e9b21f976272f305334bde5bd6227fd226680b5666e224e591424927","5772e289e9b21f976272f305334bde5bd6227fd226680b5666e224e591424927"
